id,left_id,left_nama,left_alamat,right_id,right_nama,right_alamat,jaccard,label
34,99,the dapoer 31,perumahan griya amerta j 20 medokan ayu rungkut 60295,3267,the dapoer 31,perumahan griya amerta j 20 medokan ayu rungkut city 60295,0.95,1
35,732,box kopi,ngagel jaya utara 20 pucang sewu gubeng,3232,box kopi,ngagel jaya utara 20 pucang sewu gubeng 60283,0.9375,1
36,544,hevn cake,simpang darmo permai utara 30 lontar sambikerep,3201,hevn cake,simpang darmo permai utara 30 lontar sambikerep 60226,0.9375,1
37,1405,mixue ice cream tea tenggilis,raya tenggilis mejoyo 4 kali rungkut rungkut 60293,3300,mixue ice cream tea tenggilis,raya tenggilis mejoyo 4 kali rungkut rungkut city 60293,0.9375,1
38,354,dapur kesuma,wisma medokan utara 1 b5 medokan ayu rungkut,3203,dapur kesuma,wisma medokan utara 1 b5 medokan ayu rungkut 60295,0.9375,1
39,104,dimsum e manan,tuban 1 48 jepara bubutan 60171,3264,dimsum e manan,nomer tuban 1 48 jepara bubutan 60171,0.928571429,1
40,1379,mixue ice cream tea tidar,ruko tidar mas square a9 nan,3327,mixue ice cream tea tidar,ruko tidar mas square a9,0.916666667,1
41,1414,mixue ice cream tea upn rungkut madya,rungkut madya 213 medokan ayu rungkut nan,3287,mixue ice cream tea upn rungkut madya,rungkut madya 213 medokan ayu rungkut,0.916666667,1
42,1361,burger king wiyung,citraland vittorio wiyung babatan wiyung 60227,3094,burger king wiyung,citraland vittorio wiyung babatan wiyung city 60227,0.916666667,1
43,1343,ayam nelongso wijaya kusuma,dukuh kupang 20 10a dukuh kupang dukuhpakis 60225,3190,ayam goreng nelongso wijaya kusuma,dukuh kupang 20 10a dukuh kupang dukuhpakis 60225,0.9,1
44,1359,burger king basuki rahmat surabaya,pert darmo park 1 bl 4 b 3 60256 embong kaliasin genteng 60271,3096,burger king basuki rahmat,pert darmo park 1 bl 4 b 3 60256 embong kaliasin genteng 60271,0.9,1
45,1360,burger king merr,dr ir h soekarno kedung baruk rungkut 60298,3092,burger king merr,mqmj 4gv dr ir h soekarno kedung baruk rungkut 60298,0.9,1
46,1346,bakmi gm tunjungan plaza 6,tunjungan plaza 6 lt 5 kedungdoro tegalsari 60261,3179,bakmi gm tunjungan plaza,tunjungan plaza 6 lt 5 kedungdoro tegalsari 60261,0.9,1
47,1368,richeese factory rungkut,rungkut madya 61 rungkut kidul rungkut 60293,2987,richeese factory rungkut madya,rungkut madya 61 rungkut kidul rungkut 60293,0.875,1
48,1345,ayam nelongso siwalankerto,siwalankerto 88 siwalankerto wonocolo 60234,3187,ayam goreng nelongso siwalankerto,siwalankerto 88 siwalankerto wonocolo 60234,0.875,1
49,1348,bakmi gm graha family,mayjen yono suwoyo babatan wiyung 60227,3177,bakmi gm graha family,pm3g wgf mayjen yono suwoyo babatan wiyung 60227,0.875,1
50,1018,pizza haq,kendangsari b 10 kendangsari tenggilis mejoyo,3117,pizza haq,kendangsari ykp b 10 kendangsari tenggilis mejoyo 60292,0.857142857,1
51,1416,mixue ice cream tea wiyung,raya wiyung babatan wiyung 60227,3285,mixue ice cream tea wiyung,mmqj qvq raya wiyung babatan wiyung 60227,0.833333333,1
52,1252,starbucks coffee gubeng,raya gubeng 33 rt 002 rw 06 gubeng gubeng 60281,2983,starbucks gubeng,raya gubeng 33 rt 002 rw 06 gubeng gubeng 60281,0.833333333,1
53,937,ngastina,bawean 20 ngagel wonokromo 60275,3224,ngastina,bawean 20 ngagel wonokromo 60246,0.833333333,1
